indentation_point,baseline_type,force_N,deformation_mm
+X_center,B0,5.04,0.5
-X_center,B0,5.04,0.5
+Y_center,B0,5.04,0.5
-Y_center,B0,5.04,0.5
+Z_center,B0,5.04,0.5
-Z_center,B0,5.04,0.5
+X+Y_edge,B0,5.345,0.5
-X+Y_edge,B0,5.345,0.5
+X-Y_edge,B0,5.345,0.5
-X-Y_edge,B0,5.345,0.5
+X+Z_edge,B0,5.345,0.5
-X+Z_edge,B0,5.345,0.5
+X-Z_edge,B0,5.345,0.5
-X-Z_edge,B0,5.345,0.5
+Y+X_edge,B0,5.345,0.5
-Y+X_edge,B0,5.345,0.5
+Y-X_edge,B0,5.345,0.5
-Y-X_edge,B0,5.345,0.5
+Y+Z_edge,B0,5.345,0.5
-Y+Z_edge,B0,5.345,0.5
+Y-Z_edge,B0,5.345,0.5
-Y-Z_edge,B0,5.345,0.5
+Z+X_edge,B0,5.345,0.5
-Z+X_edge,B0,5.345,0.5
+Z-X_edge,B0,5.345,0.5
-Z-X_edge,B0,5.345,0.5
+Z+Y_edge,B0,5.345,0.5
-Z+Y_edge,B0,5.345,0.5
+Z-Y_edge,B0,5.345,0.5
-Z-Y_edge,B0,5.345,0.5
+X+Y_off,B0,5.54,0.5
-X+Y_off,B0,5.54,0.5
+X-Y_off,B0,5.54,0.5
-X-Y_off,B0,5.54,0.5
+X+Z_off,B0,5.54,0.5
-X+Z_off,B0,5.54,0.5
+X-Z_off,B0,5.54,0.5
-X-Z_off,B0,5.54,0.5
+Y+X_off,B0,5.54,0.5
-Y+X_off,B0,5.54,0.5
+Y-X_off,B0,5.54,0.5
-Y-X_off,B0,5.54,0.5
+Y+Z_off,B0,5.54,0.5
-Y+Z_off,B0,5.54,0.5
+Y-Z_off,B0,5.54,0.5
-Y-Z_off,B0,5.54,0.5
+Z+X_off,B0,5.54,0.5
-Z+X_off,B0,5.54,0.5
+Z-X_off,B0,5.54,0.5
-Z-X_off,B0,5.54,0.5
+Z+Y_off,B0,5.54,0.5
-Z+Y_off,B0,5.54,0.5
+Z-Y_off,B0,5.54,0.5
