indentation_point,cavity_type,indentation_set,force_meas_N,force_base_N
+X_center,M0,center,5.555,5.555
-X_center,M0,center,5.555,5.555
+Y_center,M0,center,5.555,5.555
-Y_center,M0,center,5.555,5.555
+Z_center,M0,center,5.555,5.555
-Z_center,M0,center,5.555,5.555
+X+Y_edge,M0,center,,
-X+Y_edge,M0,center,,
+X-Y_edge,M0,center,,
-X-Y_edge,M0,center,,
+X+Z_edge,M0,center,,
-X+Z_edge,M0,center,,
+X-Z_edge,M0,center,,
-X-Z_edge,M0,center,,
+Y+X_edge,M0,center,,
-Y+X_edge,M0,center,,
+Y-X_edge,M0,center,,
-Y-X_edge,M0,center,,
+Y+Z_edge,M0,center,,
-Y+Z_edge,M0,center,,
+Y-Z_edge,M0,center,,
-Y-Z_edge,M0,center,,
+Z+X_edge,M0,center,,
-Z+X_edge,M0,center,,
+Z-X_edge,M0,center,,
-Z-X_edge,M0,center,,
+Z+Y_edge,M0,center,,
-Z+Y_edge,M0,center,,
+Z-Y_edge,M0,center,,
-Z-Y_edge,M0,center,,
+X+Y_off,M0,center,,
-X+Y_off,M0,center,,
+X-Y_off,M0,center,,
-X-Y_off,M0,center,,
+X+Z_off,M0,center,,
-X+Z_off,M0,center,,
+X-Z_off,M0,center,,
-X-Z_off,M0,center,,
+Y+X_off,M0,center,,
-Y+X_off,M0,center,,
+Y-X_off,M0,center,,
-Y-X_off,M0,center,,
+Y+Z_off,M0,center,,
-Y+Z_off,M0,center,,
+Y-Z_off,M0,center,,
-Y-Z_off,M0,center,,
+Z+X_off,M0,center,,
-Z+X_off,M0,center,,
+Z-X_off,M0,center,,
-Z-X_off,M0,center,,
+Z+Y_off,M0,center,,
-Z+Y_off,M0,center,,
+Z-Y_off,M0,center,,
-Z-Y_off,M0,center,,
+X_center,M1,center,5.155,5.555
-X_center,M1,center,5.155,5.555
+Y_center,M1,center,5.155,5.555
-Y_center,M1,center,5.155,5.555
+Z_center,M1,center,5.155,5.555
-Z_center,M1,center,5.155,5.555
+X+Y_edge,M1,center,,
-X+Y_edge,M1,center,,
+X-Y_edge,M1,center,,
-X-Y_edge,M1,center,,
+X+Z_edge,M1,center,,
-X+Z_edge,M1,center,,
+X-Z_edge,M1,center,,
-X-Z_edge,M1,center,,
+Y+X_edge,M1,center,,
-Y+X_edge,M1,center,,
+Y-X_edge,M1,center,,
-Y-X_edge,M1,center,,
+Y+Z_edge,M1,center,,
-Y+Z_edge,M1,center,,
+Y-Z_edge,M1,center,,
-Y-Z_edge,M1,center,,
+Z+X_edge,M1,center,,
-Z+X_edge,M1,center,,
+Z-X_edge,M1,center,,
-Z-X_edge,M1,center,,
+Z+Y_edge,M1,center,,
-Z+Y_edge,M1,center,,
+Z-Y_edge,M1,center,,
-Z-Y_edge,M1,center,,
+X+Y_off,M1,center,,
-X+Y_off,M1,center,,
+X-Y_off,M1,center,,
-X-Y_off,M1,center,,
+X+Z_off,M1,center,,
-X+Z_off,M1,center,,
+X-Z_off,M1,center,,
-X-Z_off,M1,center,,
+Y+X_off,M1,center,,
-Y+X_off,M1,center,,
+Y-X_off,M1,center,,
-Y-X_off,M1,center,,
+Y+Z_off,M1,center,,
-Y+Z_off,M1,center,,
+Y-Z_off,M1,center,,
-Y-Z_off,M1,center,,
+Z+X_off,M1,center,,
-Z+X_off,M1,center,,
