indentation_point,cavity_type,depth_meas_mm,depth_base_mm
+X_center,M0,0.5,0.5
-X_center,M0,0.5,0.5
+Y_center,M0,0.5,0.5
-Y_center,M0,0.5,0.5
+Z_center,M0,0.5,0.5
-Z_center,M0,0.5,0.5
+X+Y_edge,M0,0.5,0.5
-X+Y_edge,M0,0.5,0.5
+X-Y_edge,M0,0.5,0.5
-X-Y_edge,M0,0.5,0.5
+X+Z_edge,M0,0.5,0.5
-X+Z_edge,M0,0.5,0.5
+X-Z_edge,M0,0.5,0.5
-X-Z_edge,M0,0.5,0.5
+Y+X_edge,M0,0.5,0.5
-Y+X_edge,M0,0.5,0.5
+Y-X_edge,M0,0.5,0.5
-Y-X_edge,M0,0.5,0.5
+Y+Z_edge,M0,0.5,0.5
-Y+Z_edge,M0,0.5,0.5
+Y-Z_edge,M0,0.5,0.5
-Y-Z_edge,M0,0.5,0.5
+Z+X_edge,M0,0.5,0.5
-Z+X_edge,M0,0.5,0.5
+Z-X_edge,M0,0.5,0.5
-Z-X_edge,M0,0.5,0.5
+Z+Y_edge,M0,0.5,0.5
-Z+Y_edge,M0,0.5,0.5
+Z-Y_edge,M0,0.5,0.5
-Z-Y_edge,M0,0.5,0.5
+X+Y_off,M0,0.5,0.5
-X+Y_off,M0,0.5,0.5
+X-Y_off,M0,0.5,0.5
-X-Y_off,M0,0.5,0.5
+X+Z_off,M0,0.5,0.5
-X+Z_off,M0,0.5,0.5
+X-Z_off,M0,0.5,0.5
-X-Z_off,M0,0.5,0.5
+Y+X_off,M0,0.5,0.5
-Y+X_off,M0,0.5,0.5
+Y-X_off,M0,0.5,0.5
-Y-X_off,M0,0.5,0.5
+Y+Z_off,M0,0.5,0.5
-Y+Z_off,M0,0.5,0.5
+Y-Z_off,M0,0.5,0.5
-Y-Z_off,M0,0.5,0.5
+Z+X_off,M0,0.5,0.5
-Z+X_off,M0,0.5,0.5
+Z-X_off,M0,0.5,0.5
-Z-X_off,M0,0.5,0.5
+Z+Y_off,M0,0.5,0.5
-Z+Y_off,M0,0.5,0.5
+Z-Y_off,M0,0.5,0.5
-Z-Y_off,M0,0.5,0.5
+X_center,M1,0.755,0.5
-X_center,M1,0.755,0.5
+Y_center,M1,0.755,0.5
-Y_center,M1,0.755,0.5
+Z_center,M1,0.755,0.5
-Z_center,M1,0.755,0.5
+X+Y_edge,M1,0.65,0.5
-X+Y_edge,M1,0.65,0.5
+X-Y_edge,M1,0.65,0.5
-X-Y_edge,M1,0.65,0.5
+X+Z_edge,M1,0.65,0.5
-X+Z_edge,M1,0.65,0.5
+X-Z_edge,M1,0.65,0.5
-X-Z_edge,M1,0.65,0.5
+Y+X_edge,M1,0.65,0.5
-Y+X_edge,M1,0.65,0.5
+Y-X_edge,M1,0.65,0.5
-Y-X_edge,M1,0.65,0.5
+Y+Z_edge,M1,0.65,0.5
